what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1510131520577
locale,sysinfo,,,"zh_CN",1510131520577
processors,sysinfo,,,"4",1510131520577
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1510131520577
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1510131520577
java.specification.name,sysinfo,,,"Java Platform API Specification",1510131520577
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510131520577
java.specification.version,sysinfo,,,"1.6",1510131520577
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1510131520577
java.version,sysinfo,,,"1.6.0_45",1510131520577
java.vm.info,sysinfo,,,"mixed mode",1510131520577
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1510131520577
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510131520577
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510131520577
java.vm.specification.version,sysinfo,,,"1.0",1510131520577
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1510131520577
java.vm.version,sysinfo,,,"20.45-b01",1510131520577
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1510131520623
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1510131520632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131520981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131523262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131525763
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131561204
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1510131561220
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1510131561355
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1510131561596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131565600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131566389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131568023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131603512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1510131606931
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1510131608022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131612573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131613918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1510131613948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510131619456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131625391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131625635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131653214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131685707
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1510131689072
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1510131689093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1510131689287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131692788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131698083
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1510131706048
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1510131706387
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1510131706438
error,log,,,"Internal Error",1510131716320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131752442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131753600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131754299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131775846
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131777997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131779003
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1510131781378
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1510131781505
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1510131790689
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1510131790809
error,log,,,"Internal Error",1510131817792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510131862216
