what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383116023
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383116242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383116435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383116638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383116857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383117044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383117263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383117475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383117694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383117881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383119369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383119863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383121045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383121413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383121647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383121944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383122373
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383122592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383122842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1510383123185
error,log,,,"Internal Error",1510383137507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1510383142934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383149741
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383151478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383161257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383166510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383177622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383229438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383364597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383787215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383796115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383808601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1510383868376
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1510383873102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1510383874579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383899890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383900031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383900424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383901056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510383941629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510384028376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510384052625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1510384052724
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1510384063608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1510384206327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1510384208188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1510384279904
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1510384283769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1510384327078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1510384328613
