what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277164531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277164797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277165047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277165313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277165578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277165828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277166079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277166360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277167262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277167529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509277167889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277186891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277201524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277208283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277209521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277209974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277213414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277215488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277216625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277218164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277219525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277220187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277221646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277225523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277226628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509277233826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509277236514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277237373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277238838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509277249174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509277250459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509277261758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509277262952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277269141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509277269513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509277272542
