what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1509543508351
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1509543508351
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1509543508351
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1509543508351
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1509543508351
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1509543508351
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1509543508351
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1509543508351
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1509543508351
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1509543508351
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1509543508351
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1509543508351
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1509543508351
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1509543508351
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1509543508351
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1509543508351
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1509543508351
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1509543508351
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1509543508367
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1509543508367
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1509543508367
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1509543508367
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1509543508367
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1509543508367
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1509543508367
os,sysinfo,,,"win32",1509543508367
arch,sysinfo,,,"x86_64",1509543508367
ws,sysinfo,,,"win32",1509543508367
locale,sysinfo,,,"zh_CN",1509543508367
processors,sysinfo,,,"4",1509543508367
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1509543508367
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1509543508367
java.specification.name,sysinfo,,,"Java Platform API Specification",1509543508367
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1509543508367
java.specification.version,sysinfo,,,"1.6",1509543508367
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1509543508367
java.version,sysinfo,,,"1.6.0_45",1509543508367
java.vm.info,sysinfo,,,"mixed mode",1509543508367
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1509543508367
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1509543508367
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1509543508367
java.vm.specification.version,sysinfo,,,"1.0",1509543508367
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1509543508367
java.vm.version,sysinfo,,,"20.45-b01",1509543508367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1509543554206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509543558758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1509543562586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509543563102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509543565227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509543591022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509543591850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509543668276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509543669137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1509543687621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1509543833824
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1509543834777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509543845527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509543884506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509543923705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509543925455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545065755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545068491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545072569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545161157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509545239666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545240572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545246585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545249054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545313662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545314147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545397594
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509545401297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545401609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509545409935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509545418779
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1509545433006
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1509545433147
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1509545433178
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509545434856
