what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269383964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269385729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269386183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269386599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269387126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269388103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269388509
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269388916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269389853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269390787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269391887
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269392497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269393220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269394875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269397235
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269402086
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269402633
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269405329
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269406127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269406903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269407762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269408528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269410013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269410497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269410911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269411269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269411675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269412078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269412422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269413130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269413539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269413895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269414676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269415410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269416363
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269419224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269420052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269422584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269424449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269427211
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269427925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269429564
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509269572520
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509269590597
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509269623052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509269625101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269629052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269677632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269679509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269684995
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509269692380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1509269711656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269769228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269776339
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509269779801
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269781014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269783432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269784493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269785442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269786496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269787300
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509269788104
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509269790867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270002347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1509270002363
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509270002425
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509270002472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270006619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270007412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270104029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270104973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270128594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270483982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270487669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270490520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270504661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270518680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270521336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270522083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1509270532571
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509270536806
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270538040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270542694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270545299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270547708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270562110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270564731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270565840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270567018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1509270574655
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509270577709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270579417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270579963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270585149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270587006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270587835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270588662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270618712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270619753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270660498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270661822
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1509270707874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270768514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270770099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270794984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270798381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270810420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270814462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509270831156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270834558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270841174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270842862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270843315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509270852005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1509270903331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509270992648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509270993757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271039847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271049434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509271053035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271140758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271144102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271145490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271186671
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509271186718
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509271189814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509271192487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509271194630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271324105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271378516
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509271378563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271395988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271513824
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509271521401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271577739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271609796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271629521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271632030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271634834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271636251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271636579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271648858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271772002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271774999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271835014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271855370
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509271932572
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509271947059
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509271958449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271967798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271969248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271973015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271976943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271977282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509271985448
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509272002328
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509272018851
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509272020194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509272034593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509272075925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509272076705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509272108894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509272110245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509272204471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509272220692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1509272220707
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509272220764
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509272220814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1509272386978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509272388373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509274002063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509274158252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509274784050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509274805613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509274814741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509274815069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509274816924
error,log,,,"Internal Error",1509275105757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509275135099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509275136850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509275138363
