what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1509184175630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1509184176823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1509184177749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1509184209800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509184212457
error,log,,,"Internal Error",1509184219818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1509184233095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509184235353
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509184256036
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509184368313
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509184411230
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509184463746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1509184465311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509184467285
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509184488872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184506901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184581257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184589030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184679609
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509184679651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184768194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184822064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184824293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184840327
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1509184841672
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1509184848974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184851159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184872387
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509184880809
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509184880871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509184896903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184900886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184904790
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1509184906997
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509184910086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184916050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184916159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184939323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184940539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184940940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184944691
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509184946080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184953634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184954684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509184956718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185041536
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185048324
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185069917
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185069980
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185072920
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185072983
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185077467
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185079469
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185084167
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509185109800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185131357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185132216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185132717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185135726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1509185141098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509185144291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185155535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185155660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185187425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185194416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509185220464
